trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-59.20338406822223,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-255.8880352278678,"{0: 10, 1: 4, 2: 6, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-57.60165092413342,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-90.19825562748531,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-67.49060718463775,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-27.81742913760185,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-98.27979262232436,"{0: 18, 1: 6, 2: 3, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-119.57827854902916,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-72.91188862396046,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-30.981937324401173,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-4.288979034042998,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-46.044449920500476,"{0: 10, 1: 8, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-40.88514982616237,"{0: 19, 1: 10, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-35.17383107248579,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-20.445754583291237,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-16.506498761745473,"{0: 22, 1: 7, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-42.66078305222051,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-37.491767089167006,"{0: 15, 1: 9, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-46.26126401920632,"{0: 20, 1: 14, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-22.874370262551412,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-22.355041906084807,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-21.249252590058596,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-25.16858379596077,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-20.689794834570137,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-33.73956309937471,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-13.59543136030847,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-26.167583831559064,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-14.98553576047566,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-33.249470433893876,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-28.845030140286763,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
