trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",25,0,-149.86556899454504,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.6, 'e': 0.7071067811865475}",20,0,-167.4680220695141,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
3,False,"{'a': 0.6, 'e': 0.5773502691896258}",30,0,-105.01292438119894,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.5}",20,0,-94.79980782500263,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.4472135954999579}",20,0,-101.94971995394391,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.6, 'e': 0.4082482904638631}",20,0,-145.55042159628596,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.3779644730092272}",25,0,-11.180858434659562,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.6, 'e': 0.35355339059327373}",30,0,-50.123745169262435,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.3333333333333333}",20,13,5.393719255169859,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.6, 'e': 0.31622776601683794}",30,0,-112.32336027272919,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.6, 'e': 0.30151134457776363}",20,9,-1.6180036027852762,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.6, 'e': 0.2886751345948129}",20,0,-2.0722750724670957,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.6, 'e': 0.2773500981126146}",20,10,-37.282074578960604,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.6, 'e': 0.2672612419124244}",20,0,-2.9999238985360615,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.2581988897471611}",25,0,-86.15756984597914,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.6, 'e': 0.25}",25,13,-68.07527827223058,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.6, 'e': 0.24253562503633297}",25,0,-17.947621222222125,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.23570226039551587}",20,0,25.527463884965602,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.6, 'e': 0.22941573387056174}",25,0,-2.600974350676168,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.6, 'e': 0.22360679774997896}",20,0,-29.55608175461,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.2182178902359924}",25,11,16.971799936814783,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.6, 'e': 0.21320071635561041}",20,0,-7.148977786338309,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.6, 'e': 0.20851441405707477}",30,0,-114.73335502627627,"{0: 23, 1: 0, 2: 1, 3: 5, 4: 1}",0
24,False,"{'a': 0.6, 'e': 0.20412414523193154}",20,9,5.7362291014247555,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.6, 'e': 0.2}",30,0,-71.86128188531754,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
26,False,"{'a': 0.6, 'e': 0.19611613513818404}",25,0,6.448368438698796,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.6, 'e': 0.19245008972987526}",30,20,7.9656812598515625,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.6, 'e': 0.1889822365046136}",20,0,17.73955322105066,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.6, 'e': 0.18569533817705186}",25,0,17.572878294630144,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
30,False,"{'a': 0.6, 'e': 0.18257418583505536}",25,0,8.465870927195612,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
31,False,"{'a': 0.6, 'e': 0.17960530202677488}",20,0,30.427642202872576,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.6, 'e': 0.17677669529663687}",20,0,-25.16983299180952,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.6, 'e': 0.17407765595569785}",25,0,4.5124883579608,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.6, 'e': 0.17149858514250882}",25,0,-7.7066452825022,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
35,False,"{'a': 0.6, 'e': 0.1690308509457033}",25,5,11.15475107341971,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.6, 'e': 0.16666666666666666}",20,0,-67.75459269418202,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
37,False,"{'a': 0.6, 'e': 0.1643989873053573}",20,0,21.282417853021055,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.6, 'e': 0.16222142113076252}",25,10,9.66283750225132,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.6, 'e': 0.16012815380508713}",20,14,10.651178238443675,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.6, 'e': 0.15811388300841897}",20,5,29.21407870172634,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.6, 'e': 0.15617376188860607}",20,16,7.130094792573994,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.6, 'e': 0.1543033499620919}",30,0,9.565004360498591,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.6, 'e': 0.15249857033260467}",25,17,15.91948213371069,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.6, 'e': 0.15075567228888181}",20,12,16.958940339743442,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.6, 'e': 0.14907119849998599}",30,10,36.69305403579198,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.6, 'e': 0.14744195615489714}",25,9,-26.509539067302157,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.6, 'e': 0.14586499149789456}",25,12,-4.718492710409826,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.6, 'e': 0.14433756729740646}",25,0,13.037375754523561,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.6, 'e': 0.14285714285714285}",25,0,26.314803299249043,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.6, 'e': 0.1414213562373095}",25,20,11.002518766859819,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.6, 'e': 0.14002800840280097}",25,13,6.609809064317528,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.6, 'e': 0.1386750490563073}",20,11,13.780742485965476,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.6, 'e': 0.13736056394868904}",30,15,3.723384332183411,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.6, 'e': 0.13608276348795434}",20,4,14.236131020897709,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.6, 'e': 0.13483997249264842}",25,14,18.78406025221802,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.6, 'e': 0.1336306209562122}",20,6,12.31363058369313,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.6, 'e': 0.13245323570650439}",25,14,19.42599703159933,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.6, 'e': 0.13130643285972254}",20,12,-8.930142162858537,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.6, 'e': 0.13018891098082389}",20,0,-8.86540110236568,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
60,False,"{'a': 0.6, 'e': 0.12909944487358055}",20,0,14.174946674927112,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.6, 'e': 0.12803687993289598}",20,9,-0.3822534174583554,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.6, 'e': 0.1270001270001905}",30,2,-40.57697447227874,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 2}",1
63,False,"{'a': 0.6, 'e': 0.1259881576697424}",30,0,-10.888170257976189,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
64,False,"{'a': 0.6, 'e': 0.125}",25,0,-7.48618194273989,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
65,False,"{'a': 0.6, 'e': 0.12403473458920847}",20,14,11.419286508770044,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.6, 'e': 0.12309149097933272}",25,2,-42.51455766621839,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
67,False,"{'a': 0.6, 'e': 0.12216944435630522}",20,6,19.75486824354341,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.6, 'e': 0.12126781251816648}",25,15,17.168196146020072,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.6, 'e': 0.1203858530857692}",20,0,2.9185934812885357,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
70,False,"{'a': 0.6, 'e': 0.11952286093343936}",20,16,8.693826698165179,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.6, 'e': 0.11867816581938533}",20,14,10.68447482554025,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
