trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.38364995606658,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-298.8345997290338,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.53232146620023,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.06577760964178,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.5825145457715,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.03960487708412,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-208.91911722415466,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.8127426468834,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-149.6105106557575,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.83738513255898,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-253.56332543965237,"{0: 17, 1: 4, 2: 9, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,15,-8.121326261458444,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-232.52053629212256,"{0: 10, 1: 3, 2: 7, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.50462014823773,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.05475231971287,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-321.2059181253232,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 6}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,3,-152.5480795994831,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-190.56211830875029,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-136.9108212058596,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.996927711439003,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-137.1720618418963,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-183.1549788513177,"{0: 10, 1: 3, 2: 8, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-59.827420590411265,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-274.18452775581164,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 6}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,10,-53.482252636783926,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,2,-74.29824882601082,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,1,-25.616194916259712,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-105.0059922718585,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-170.65041723889104,"{0: 17, 1: 0, 2: 10, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,10,-65.84249612096639,"{0: 4, 1: 0, 2: 5, 3: 1, 4: 0}",1
